구분,ID,메커니즘,설명,인게임 스킬 시너지,등급 적합성,비고
,,,,,,
액티브 — 두두 버프,,,,,,
액티브,A1-1,공격력 증가,N턴간 두두 공격력 X% 증가,"스탯, 조건부 스탯",C~S,수치 스케일
액티브,A1-2,크리 확률/데미지 증가,N턴간 크리 확률/데미지 증가,"스탯, 조건부 스탯",B~S,
액티브,A1-3,속성 데미지 증가,N턴간 특정 속성 데미지 X% 증가,"속성확률, 단일속성 각성",A~S,
액티브,A1-4,피해 증폭,N턴간 모든 최종 데미지 X% 증폭,피해증가(SS스킬),S~SS,
액티브,A1-5,분노 (스택형 버프),N턴간 분노 상태. 조건마다 스택 축적 → 소모 시 버프,"생존, 콤보강화",S~SS,
액티브,A1-6,속성 확률 조작,N턴간 특정 속성 등장 확률 증가/감소,"속성확률, 속성 독점",A~S,
액티브,A1-7,콤보 부스터,N턴간 콤보 카운트 증가 속도 2배 또는 콤보 보너스 증가,"콤보강화 (가속, 광전사 등)",S~SS,신규 개념
,,,,,,
액티브 — 보호/생존,,,,,,
액티브,A2-1,보호막 부여,최대체력의 X% 보호막,"생존, 보호 심볼",C~S,
액티브,A2-2,즉시 회복,최대체력의 X% 즉시 회복,"회복 심볼, 생존",C~S,
액티브,A2-3,재생 (턴제),N턴간 매 턴 최대체력의 X% 재생,생존,C~S,
액티브,A2-4,방패 부여,방패 N개 부여 (피격 시 소모 → 피해 감소),"방패, 속성 방패",B~S,
액티브,A2-5,피해 감소,N턴간 받는 피해 X% 감소,"불굴, 피해감소",B~S,
액티브,A2-6,정화 (상태이상 해제),두두의 상태이상 N개 해제,생존,B~S,
액티브,A2-7,완전 정화 + 대회복,모든 상태이상 해제 + 대량 회복,"천사의 날개, 불사",S~SS,
액티브,A2-8,면역,N턴간 특정/모든 상태이상 면역,생존,S~SS,
,,,,,,
액티브 — 적 디버프,,,,,,
액티브,A3-1,저체온 부여,적에게 저체온 N스택 부여,"얼음, 빙결 강화, 영구동토",C~S,
액티브,A3-2,어지러움 부여,적에게 어지러움 N스택 부여 (N턴),"천둥, 어지러움 강화, 혼절",C~S,
액티브,A3-3,저체온 + 어지러움 복합,두 상태이상 동시 부여,빙결+어지러움 강화 모두,S~SS,
액티브,A3-4,적 스킬 봉인,적의 패시브 N개를 N턴간 비활성화,- (신규),SS,신규 개념
액티브,A3-5,적 버프 해제,적의 버프(보호막/공격력 증가 등)를 제거,- (신규),S~SS,신규 개념
액티브,A3-6,적 약화 (방어 감소),N턴간 적이 받는 피해 X% 증가,상태이상강화 전반,A~S,
,,,,,,
액티브 — 슬롯 조작,,,,,,
액티브,A4-1,부적 부여 (가로),N턴간 가로 줄에 +X 부적 부착,패턴배율 (가로 강화),B~SS,
액티브,A4-2,부적 부여 (세로),N턴간 세로 줄에 +X 부적 부착,패턴배율 (세로 강화),B~SS,
액티브,A4-3,부적 부여 (가로+세로),N턴간 가로+세로 동시 부적,패턴배율 전반,S~SS,
액티브,A4-4,조커(만능) 심볼 생성,N턴간 조커 심볼 X개 등장,"만능심볼, 무지개 공명",A~SS,
액티브,A4-5,반반심볼 생성,N턴간 반반심볼 X개 등장,"반반심볼, 이중속성 강화",A~SS,
액티브,A4-6,x2룬 부착,랜덤 심볼 N개에 x2룬 부착,"x2룬 (룬 각인, 룬 확산)",S~SS,
액티브,A4-7,심볼 변환,스핀 후 심볼 N개를 특정 속성으로 변환,속성변환 계열,A~S,
액티브,A4-8,심볼 홀드,이전 스핀에서 체크된 심볼 고정 + 나머지만 리스핀,- (SS 신규),SS,SS 신규 개념
액티브,A4-9,펫 전용 특수 심볼,펫 고유 특수 심볼을 그리드에 배치. 체크 시 고유 효과,- (SS 전용 1~2종),SS,SS 전용 신규 개념
액티브,A4-10,리스핀/부분 리스핀,스핀 결과 중 일부 또는 전체를 다시 스핀,- (신규),S~SS,신규 개념
,,,,,,
액티브 — 복합/유니크 (SS급),,,,,,
액티브,A5-1,연쇄 스핀,추억장식 발동 전에 리스핀 1회 추가. 기존 매칭 위에 추가 매칭 축적,전반,SS,채택 — 슬롯 핵심과 일치
액티브,A5-2,추억장식 증폭,N턴간 추억장식이 일정 확률로 2번 발동,추억장식 전반,SS,채택 — 직관적 이해
,,,,,,
,,,,,,
패시브 원칙: 모든 패시브는 [액티브]와 연결. 독립 효과는 장비 영역,,,,,,
,,,,,,
패시브 — 쿨타임 순환,,,,,,
패시브,B1-1,쿨타임 감소 (콤보),N콤보 달성 시 [액티브] 쿨타임 1 감소,,B~SS,
패시브,B1-2,쿨타임 감소 (체크 횟수),특정 방향/심볼 N회 체크 시 쿨타임 1 감소,,B~SS,
패시브,B1-3,쿨타임 감소 (적 상태),적이 특정 상태이상일 때 쿨타임 감소,,A~SS,
패시브,B1-4,쿨타임 감소 (두두 상태),두두 체력 X% 이하일 때 쿨타임 감소,,A~SS,
패시브,B1-5,쿨타임 감소 (피격/빗나감),적 공격 빗나감 또는 두두 피격 시 쿨타임 감소,,B~SS,
패시브,B1-6,쿨타임 감소 (크리티컬),크리티컬 발생 시 쿨타임 감소,,B~SS,
패시브,B1-7,쿨타임 감소 (전투 진행),N라운드 이후 자동 쿨타임 감소,,S~SS,
패시브,B1-8,쿨타임 초기화,특정 조건(적 처치 등) 시 쿨타임 완전 초기화,,SS,
,,,,,,
패시브 — 액티브 강화,,,,,,
패시브,B2-1,지속턴 연장,특정 조건 시 [액티브] 지속턴 +N,,A~SS,
패시브,B2-2,효과 수치 증가,[액티브]의 수치를 강화 (부적 +X → +Y 등),,S~SS,
패시브,B2-3,추가 효과 부여,[액티브] 발동 시 추가로 보호막/방패/버프 부여,,A~SS,
패시브,B2-4,콤보 연동 강화,N콤보 달성 시 [액티브] 효과에 추가 보너스,,B~SS,
패시브,B2-5,전투 시작 시 선발동,전투 시작 시 [액티브]의 약화 버전 자동 발동,,S~SS,
패시브,B2-6,방패 소모 연동,방패 소모 시 [액티브] 관련 추가 효과 (저체온 등),,A~SS,액티브와 연결 필수
패시브,B2-7,정화 연동,상태이상 해제 시 [액티브] 관련 추가 효과 (보호막 등),,A~S,액티브와 연결 필수
패시브,B2-8,심볼 체크 연동,조커/반반/특수 심볼 체크 시 [액티브] 관련 추가 효과,,A~SS,액티브와 연결 필수
패시브,B2-9,분노 연동,분노 스택 소모 시 [액티브] 관련 추가 효과 (크리/보호막 등),,S~SS,액티브와 연결 필수
패시브,B2-10,상태이상 연동,적에게 부여된 상태이상에 따라 [액티브] 추가 효과,,A~SS,액티브와 연결 필수
,,,,,,
패시브 — 펫 고유,,,,,,
패시브,B3-1,펫 간 시너지,다른 펫의 쿨타임 감소 또는 효과 강화,,SS,펫만 가능한 고유 영역
,,,,,,
,,,,,,
SS 전용 채택 신규 개념,,,,,,
SS신규,NEW-1,펫 전용 특수 심볼,SS 펫 고유 심볼이 그리드에 등장. 체크 시 고유 효과 (1~2종만),,SS,시각적 차별화 + 수집 동기
SS신규,NEW-2,연쇄 스핀,추억장식 발동 전에 리스핀 1회 추가. 기존 매칭 위에 추가 매칭 축적,,SS,슬롯 핵심과 완벽 일치
SS신규,NEW-6,추억장식 증폭,N턴간 추억장식이 일정 확률로 2번 발동,,SS,직관적 이해
SS신규,NEW-7,심볼 홀드,이전 스핀에서 체크된 심볼 고정 + 나머지만 리스핀,,SS,슬롯머신 홀드 기능
,,,,,,
SS 기각 신규 개념,,,,,,
기각,NEW-3,시간 정지,빙결과 기능 중복,,기각,
기각,NEW-4,두 펫 합체기,구현 불가능 (조합 케이스 과다),,기각,
