ID,이름,등급,공격력,체력,쿨타임,액티브,패시브1,패시브2,패시브3,패시브4
1001,망이,C,3%,3%,8,3턴간 3콤보마다 공격력 75% 로 공격,,,,
1002,마녀 슬라임,C,3%,3%,9,3턴간 슬롯 결과 1.2배,,,,
1003,블루밍 슬라임,C,3%,3%,8,3턴간 매턴 최대체력의 4% 재생,,,,
1004,모래 슬라임,C,3%,3%,9,두두에게 최대체력의 8% 보호막 부여,,,,
2001,플라워 망이,B,5%,5%,8,3턴간 3콤보마다 공격력 100%로 공격,가시 공격에 출혈 부여 (2턴),,,
2002,전사 망이,B,5%,5%,7,3턴간 3콤보마다 공격력 100%로 공격,돌격의 공격력 100% -> 300%로 변경,,,
2003,고대 슬라임,B,5%,5%,7,두두 크리티컬 확률 2턴간 50%,"두두 턴에 크리티컬 발생 시, 공격력 200%로 공격 (턴 당 1회)",,,
2004,네이쳐 스피릿,B,5%,5%,8,두두에게 최대체력의 12% 보호막 부여,자연의 보호 효과 12% -> 16%,,,
2005,숲의 정령,B,5%,5%,7,두두를 최대체력의 12% 즉시 회복,"전투 시작 시, 2턴간 매턴 최대체력의 3% 재생",,,
2006,설원 정령,B,5%,5%,7,3턴간 3콤보마다 공격력 100%로 공격,얼음 미사일에 낮은 확률로 빙결 효과 부여 (2턴),,,
2007,마녀 버섯,B,5%,5%,8,"현재 체력의 15%를 소모하고, 2턴간 슬롯 결과 1.5배","환각 버섯 효과 중 적 처치 시, 소모한 체력 회복",,,
2008,약탈 정령,B,5%,5%,7,3턴간 3콤보마다 공격력 100%로 공격,"약탈의 저주에 받는 피해 증가 디버프 부여 (2턴, 중첩 가능)",,,
3001,아르마딩고,A,8%,8%,8,"3턴간 5콤보마다 공격력 150%로 공격하며, 공격에 화상 부여",뜨거운 공격에 부여되는 화상 + 1,낮은 확률로 두두의 빙결을 면역,,
3002,비단 거미,A,8%,8%,6,"슬롯에 적용된 모든 부정적 효과를 제거합니다
(방해, 가로 봉인, 세로 봉인)",거미줄 풀기로 제거한 부정적 효과 1개당 체력 5% 회복,거미줄 풀기로 제거한 부정적 효과 1개당 공격력 100% 공격,,
3003,설원 임프,A,8%,8%,7,"4턴간 받는 데미지가 15% 감소하고, 피격 시 일정 확률로 적 1턴 빙결","얼음 방패 버프로 적 빙결 시, 얼음 방패 버프 턴 수 + 1",얼음 방패 사용 시 두두에게 걸린 모든 화상을 해제합니다,,
3004,타락 정령,A,8%,8%,7,2턴간 랜덤한 가로 줄에 +1 부적 부착,한 턴에 가로 패턴이 3번 체크되면 쿨타임 1턴 감소,술법 : 가로의 체크 수 + 1,,
3005,꽃의 정령,A,8%,8%,7,두두의 체력을 최대체력의 20% 만큼 회복,꽃향기 사용 시 두두에게 걸린 모든 출혈을 해제합니다,"꽃향기 발동 시, 2턴간 매 턴 체력 5% 추가 회복",,
3006,고대 늑대,A,8%,8%,7,2턴간 모든 속성으로 취급되는 만능 심볼 1개 등장,만능 심볼 체크마다 적에게 출혈 제공 (2턴),고대의 마법으로 등장하는 만능 심볼 + 1,,
3007,듄 마스터,A,8%,8%,7,3턴간 랜덤한 세로 줄에 +1 부적 부착,한 턴에 세로 패턴이 5번 체크되면 쿨타임 1턴 감소,술법 : 세로의 부적 부착 개수 + 1,,
3008,주민형 망이,A,8%,8%,8,"3턴간 5콤보마다 공격력 150% 공격, 공격에 낮은 확률로 기절 효과 부여","콤보 공격으로 기절 부여 시, 쿨타임 1턴 감소",지원 사격의 필요 콤보 수 - 1,,
4001,꽃담비,S,15%,15%,7,"3턴간 매 턴 체력 10% 회복 및 출혈, 화상 면역 상태",턴 시작 시 두두의 체력이 30% 이하라면 최대체력의 50%를 회복합니다 (탐험 중 1회만 발동),턴 시작 시 두두의 체력이 40% 이하라면 쿨타임이 1 추가 감소,향기로운 축복의 회복량 10% -> 15%,
