ID,이름,등급,공격력,체력,쿨타임,액티브,패시브1 (B:강화1 / A:강화1 / S:최초 / SS:최초),패시브2 (A:강화2 / S:강화1 / SS:최초),패시브3 (S:강화2 / SS:강화1),패시브4 (SS:강화2),SS 제작 재료
,,,,,,,,,,,,
C 등급 (4종) — 기본 역할 소개,,,,,,,,,,
1001,망이,C,3%,3%,8,2턴간 두두 공격력 15% 증가,,,,
1002,마녀 슬라임,C,3%,3%,9,두두에게 최대체력의 10% 보호막 부여,,,,
1003,블루밍 슬라임,C,3%,3%,8,3턴간 매 턴 최대체력의 4% 재생,,,,
1004,모래 슬라임,C,3%,3%,9,적에게 저체온 2스택 부여,,,,
,,,,,,,,,,,,
B 등급 (8종) — 기본 확장 + 쿨감 루프 교육,,,,,,,,,,
2001,플라워 망이,B,5%,5%,8,2턴간 두두 공격력 20% 증가,[액티브] 발동 중 5콤보 달성 시 공격력 추가 5%(1턴),,,,
2002,전사 망이,B,5%,5%,7,2턴간 크리 확률 10% + 크리 데미지 15% 증가,크리 발생 시 [액티브] 쿨타임 1 감소(턴당 1회),,,,
2003,고대 슬라임,B,5%,5%,8,3턴간 매 턴 최대체력 5% 재생,[액티브] 재생 중 두두 피격 시 재생 지속턴 +1,,,,
2004,네이쳐 스피릿,B,5%,5%,8,두두에게 최대체력 15% 보호막 + 방패 1개 부여,방패 소모 시 [액티브] 쿨타임 1 감소,,,,
2005,숲의 정령,B,5%,5%,7,두두 상태이상 1개 해제 + 최대체력 8% 즉시 회복,해제 성공 시 [액티브] 쿨타임 1 감소,,,,
2006,설원 정령,B,5%,5%,7,적에게 저체온 2스택 부여,적이 빙결 상태이면 [액티브] 쿨타임 1 감소,,,,
2007,마녀 버섯,B,5%,5%,8,적에게 어지러움 2스택 부여(2턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소(턴당 1회),,,,
2008,약탈 정령,B,5%,5%,7,2턴간 랜덤 가로 또는 세로 1줄에 +1 부적,부적 줄에서 3회 체크 시 [액티브] 쿨타임 1 감소,,,,
,,,,,,,,,,,,
A 등급 (8종) — 전문화 시작. 조커/반반/속성특화 도입,,,,,,,,,,
3001,아르마딩고,A,8%,8%,8,2턴간 랜덤 가로 1줄에 +2 부적,가로 3회 체크 시 [액티브] 쿨타임 1 감소,5콤보 이상이면 [액티브] 지속턴 +1,,,
3002,비단 거미,A,8%,8%,7,2턴간 랜덤 세로 1줄에 +2 부적,세로 3회 체크 시 [액티브] 쿨타임 1 감소,5콤보 이상이면 [액티브] 지속턴 +1,,,
3003,설원 임프,A,8%,8%,7,2턴간 조커 심볼 1개 등장,조커 체크 시 적에게 저체온 1스택 부여,조커 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),,,
3004,타락 정령,A,8%,8%,7,적에게 어지러움 3스택 부여(2턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소,어지러움 3스택 이상일 때 [액티브] 사용 시 지속턴 +1,,,
3005,꽃의 정령,A,8%,8%,7,두두 상태이상 1개 해제 + 2턴간 매 턴 최대체력 5% 재생,해제 시 두두에게 최대체력 8% 보호막 부여,두두 체력 50% 이하이면 [액티브] 쿨타임 1 감소,,,
3006,고대 늑대,A,8%,8%,7,2턴간 현재 등장확률이 가장 높은 속성의 데미지 25% 증가,해당 속성 5회 체크 시 [액티브] 쿨타임 1 감소,[액티브] 발동 중 7콤보 달성 시 속성 데미지 추가 10%(1턴),,,
3007,듄 마스터,A,8%,8%,7,적에게 저체온 3스택 부여,적이 빙결 시 [액티브] 쿨타임 2 감소,[액티브] 사용 시 빙결 중인 적의 빙결 지속턴 +1,,,
3008,주민형 망이,A,8%,8%,8,2턴간 등장확률 높은 2속성의 반반심볼 1개 등장,반반심볼 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),[액티브] 사용 시 나머지 2속성 확률 30% 감소,,,
,,,,,,,,,,,,
S 등급 (8종) — 빌드 정체성 확립. 복합 효과 + 분노 도입,,,,,,,,,,
4001,꽃담비,S,15%,15%,7,3턴간 가로 1줄 + 세로 1줄에 +3 부적,전투 시작 시 2턴간 랜덤 세로 1줄에 +2 부적,7콤보 이상이면 [액티브] 쿨타임 1 감소,[액티브] 발동 중 체크 5회 이상이면 랜덤 심볼 1개에 x2룬 부여,,
4002,블루혼,S,15%,15%,7,2턴간 조커 심볼 2개 등장,조커 체크 시 적에게 저체온 1스택 부여,조커 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),5라운드 이후 [액티브] 조커 +1개 추가,,
4003,듄 그리폰,S,15%,15%,7,2턴간 두두 공격력 20% + 크리 데미지 30% 증가,크리 발생 시 [액티브] 쿨타임 1 감소(턴당 1회),[액티브] 발동 중 5콤보 시 공격력 추가 10%(1턴),[액티브] 발동 중 크리 발생 시 크리 데미지 추가 10%(1턴),,
4004,가시 망이,S,15%,15%,7,적에게 어지러움 3스택 + 저체온 1스택 부여(3턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소,어지러움 5스택 이상이면 [액티브] 사용 시 저체온 추가 1스택,적이 빙결 상태이면 [액티브] 사용 시 어지러움 지속턴 +1,,
4005,마녀의 조형물,S,15%,15%,6,두두 모든 상태이상 해제 + 3턴간 매 턴 최대체력 8% 재생,해제 시 두두에게 최대체력 10% 보호막 부여,[액티브] 재생 중 두두 피격 시 재생 지속턴 +1,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,,
4006,눈릴라,S,15%,15%,7,두두에게 방패 2개 부여 + 2턴간 받는 피해 15% 감소,방패 소모 시 적에게 저체온 1스택 부여,방패 소모 시 [액티브] 쿨타임 1 감소,[액티브] 사용 시 이미 방패가 있으면 보호막 10% 추가,,
4007,도살자,S,15%,15%,6,두두에게 3턴간 분노 상태 부여 (매 스핀마다 분노 1스택 + 피격 시 추가 1스택),턴 시작 시 분노 전부 소모 → 스택당 공격력 8%(해당 턴),분노 3스택 이상 소모 시 크리 확률 15%(해당 턴),분노 중 피격 시 두두에게 최대체력 5% 보호막,,
4008,고대 거북,S,15%,15%,7,2턴간 등장확률 높은 2속성의 반반심볼 2개 등장,반반심볼 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),[액티브] 사용 시 나머지 2속성 확률 절반 감소,[액티브] 발동 중 반반심볼 3회 체크 시 지속턴 +1,,
,,,,,,,,,,,,
SS 등급 (8종) — 전설급. 전투 규칙이 바뀌는 임팩트,,,,,,,,,,
5001,리프 버드,SS,25%,25%,7,3턴간 매 스핀 후 추억장식 적용 전에 추가 스핀 1회 발생. 두 스핀의 매칭 결과가 합산됨,전투 시작 시 2턴간 랜덤 가로+세로 각 1줄에 +2 부적,10콤보 이상이면 [액티브] 쿨타임 1 감소,추가 스핀 시 랜덤 심볼 1개에 x2룬 부여,5라운드 이후 [액티브] 지속턴 +1,꽃담비(S++) + 고대 거북(S++)
