ID,이름,등급,공격력,체력,쿨타임,컨셉,액티브,패시브1 (B:강화1 / A:강화1 / S:최초 / SS:최초),패시브2 (A:강화2 / S:강화1 / SS:최초),패시브3 (S:강화2 / SS:강화1),패시브4 (SS:강화2),SS 제작 재료
,,,,,,,,,,,,,
C 등급 (4종) — 기본 RPG 감각. 상태이상/슬롯 조작 없음,,,,,,,,,,,
1001,망이,C,3%,3%,8,돌격하는 전사,2턴간 두두 공격력 15% 증가,,,,,
1002,마녀 슬라임,C,3%,3%,9,마법 보호막,두두에게 최대체력의 10% 보호막 부여,,,,,
1003,블루밍 슬라임,C,3%,3%,8,생명의 재생,3턴간 매 턴 최대체력의 4% 재생,,,,,
1004,모래 슬라임,C,3%,3%,8,응급 치유,두두를 최대체력의 15% 즉시 회복,,,,,
,,,,,,,,,,,,,
B 등급 (8종) — 시너지 루프 교육. 상태이상/정화/부적 첫 등장,,,,,,,,,,,
2001,플라워 망이,B,5%,5%,8,꽃의 힘으로 강화,2턴간 두두 공격력 20% 증가,7콤보 달성 시 [액티브] 쿨타임 1 감소,,,,
2002,전사 망이,B,5%,5%,7,치명적 일격의 눈,2턴간 크리 확률 10% + 크리 데미지 15% 증가,크리 발생 시 [액티브] 쿨타임 1 감소(턴당 1회),,,,
2003,고대 슬라임,B,5%,5%,8,강인한 재생력,3턴간 매 턴 최대체력 5% 재생,두두 피격 시 [액티브] 재생 지속턴 +1(턴당 1회),,,,
2004,네이쳐 스피릿,B,5%,5%,8,숲의 방패,두두에게 최대체력 15% 보호막 + 방패 1개 부여,방패 소모 시 [액티브] 쿨타임 1 감소,,,,
2005,숲의 정령,B,5%,5%,7,자연의 정화,두두 상태이상 1개 해제 + 최대체력 8% 즉시 회복,해제 성공 시 [액티브] 쿨타임 1 감소,,,,
2006,설원 정령,B,5%,5%,7,얼어붙는 한기,적에게 저체온 2스택 부여,적이 빙결 상태이면 [액티브] 쿨타임 1 감소,,,,
2007,마녀 버섯,B,5%,5%,8,환각의 포자,적에게 어지러움 2스택 부여(2턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소(턴당 1회),,,,
2008,약탈 정령,B,5%,5%,7,부적의 힘,2턴간 랜덤 가로 또는 세로 1줄에 +1 부적,부적 줄에서 3회 체크 시 [액티브] 쿨타임 1 감소,,,,
,,,,,,,,,,,,,
A 등급 (8종) — 전문화. 조커/반반/속성특화 도입,,,,,,,,,,,
3001,아르마딩고,A,8%,8%,8,가로의 지배자,2턴간 랜덤 가로 1줄에 +2 부적,가로 3회 체크 시 [액티브] 쿨타임 1 감소,7콤보 달성 시 [액티브] 지속턴 +1,,,
3002,비단 거미,A,8%,8%,7,세로의 지배자,2턴간 랜덤 세로 1줄에 +2 부적,세로 3회 체크 시 [액티브] 쿨타임 1 감소,7콤보 달성 시 [액티브] 지속턴 +1,,,
3003,설원 임프,A,8%,8%,7,만능의 얼음,2턴간 조커 심볼 1개 등장,조커 체크 시 적에게 저체온 1스택 부여,조커 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),,,
3004,타락 정령,A,8%,8%,7,타락의 저주,적에게 어지러움 3스택 부여(2턴),적 공격 빗나감 시 [액티브] 쿨타임 1 감소,어지러움 3스택 이상이면 [액티브] 사용 시 지속턴 +1,,,
3005,꽃의 정령,A,8%,8%,7,치유의 꽃잎,두두 상태이상 1개 해제 + 2턴간 매 턴 최대체력 5% 재생,해제 성공 시 두두에게 최대체력 8% 보호막 부여,두두 체력 50% 이하이면 [액티브] 쿨타임 1 감소,,,
3006,고대 늑대,A,8%,8%,7,속성의 사냥꾼,2턴간 현재 등장확률이 가장 높은 속성의 데미지 25% 증가,해당 속성 체크 5회 시 [액티브] 쿨타임 1 감소,7콤보 달성 시 해당 속성 데미지 추가 10%(1턴),,,
3007,듄 마스터,A,8%,8%,7,모래바람의 냉기,적에게 저체온 3스택 부여,적이 빙결 시 [액티브] 쿨타임 2 감소,[액티브] 사용 시 빙결 중인 적의 빙결 지속턴 +1,,,
3008,주민형 망이,A,8%,8%,8,두 속성의 중재자,2턴간 등장확률 높은 2속성의 반반심볼 1개 등장,반반심볼 체크 시 [액티브] 쿨타임 1 감소(턴당 1회),[액티브] 사용 시 나머지 2속성 확률 30% 감소,,,
,,,,,,,,,,,,,
S 등급 (8종) — 빌드 정체성. A에 없는 새 메커니즘 필수,,,,,,,,,,,
4001,꽃담비,S,15%,15%,7,부적+룬의 마법사,3턴간 가로 1줄 + 세로 1줄에 +3 부적,전투 시작 시 2턴간 랜덤 세로 1줄에 +2 부적,체크 5회 이상인 턴에 랜덤 심볼 1개에 x2룬 부여,[액티브] 부적 줄에서 잭팟(줄 전체 같은 속성) 발생 시 쿨타임 2 감소,,
