스킬 목록,,,,,
,,,,,
번호,타입,제목,등급,내용,등장조건
1,속성확률,화염 집중,N,화염 심볼 등장 확률 조금 증가,
2,속성확률,물 집중,N,물 심볼 등장 확률 조금 증가,
3,속성확률,번개 집중,N,번개 심볼 등장 확률 조금 증가,
4,속성확률,자연 집중,N,자연 심볼 등장 확률 조금 증가,
5,속성확률,화염 지배,R,화염 심볼 확률 많이 증가,화염 집중
6,속성확률,물 지배,R,물 심볼 확률 많이 증가,물 집중
7,속성확률,번개 지배,R,번개 심볼 확률 많이 증가,번개 집중
8,속성확률,자연 지배,R,자연 심볼 확률 많이 증가,자연 집중
9,속성확률,속성 독점,E,등장 확률이 가장 높은 속성의 등장 확률 많이 증가,
10,속성확률,단일속성 각성,L,등장 확률이 50% 이상인 속성의 공격력이 30% 증가,속성 독점
11,속성변환,화염 변환,N,스핀 후 화염이 아닌 심볼 1개를 화염으로 변환,
12,속성변환,물 변환,N,스핀 후 물이 아닌 심볼 1개를 물로 변환,
13,속성변환,번개 변환,N,스핀 후 번개가 아닌 심볼 1개를 번개로 변환,
14,속성변환,자연 변환,N,스핀 후 자연이 아닌 심볼 1개를 자연으로 변환,
15,속성변환,화염 침식,R,화염변환으로 변환하는 심볼 1개 추가,화염 변환
16,속성변환,물 침식,R,물변환으로 변환하는 심볼 1개 추가,물 변환
17,속성변환,번개 침식,R,번개변환으로 변환하는 심볼 1개 추가,번개 변환
18,속성변환,자연 침식,R,자연변환으로 변환하는 심볼 1개 추가,자연 변환
19,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
20,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
21,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
22,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
23,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
24,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),
25,속성변환,이중변환 마스터,L,이중변환 심볼이 모두 반반심볼로 등장한다,이중변환
26,속성 특수심볼,불씨,N,화염 심볼 중 1개가 불씨로 등장. 체크 시 화상 2턴 (해당 턴 화염 데미지의 10%),
27,속성 특수심볼,낙뢰,N,번개 심볼 중 1개가 낙뢰로 등장. 체크 시 미니번개가 생성되었다가 추가공격 (해당 턴 번개 데미지의 10%),
28,속성 특수심볼,가시,N,자연 심볼 중 1개가 가시로 등장. 체크 시 따가움 2턴 (1스택당 받는 피해량 10% 증가),
29,속성 특수심볼,얼음,N,물 심볼 중 1개가 얼음으로 등장. 체크 시 저체온 2턴 (저체온 3스택이 되면 빙결 1턴에 걸림),
30,속성 특수심볼,불씨 II,R,불씨 1개 추가 등장,불씨
31,속성 특수심볼,낙뢰 II,R,낙뢰 1개 추가 등장,낙뢰
32,속성 특수심볼,가시 II,R,가시 1개 추가 등장,가시
33,속성 특수심볼,얼음 II,R,얼음 1개 추가 등장,얼음
34,특수심볼강화,특수심볼 강화,L,"불씨,낙뢰,가시,얼음 심볼 중 1개에 x2 룬이 부착되어 등장한다",아무 특수심볼
35,속성 특수심볼,파워,R,화염 심볼 중 1개가 파워 심볼로 등장. 파워 심볼 체크시 마다 공격력이 5% 증가 (전투 종료 시 초기화),
36,속성 특수심볼,천둥,R,번개 심볼 중 1개가 천둥 심볼로 등장. 천둥 심볼 체크시 마다 50% 확률로 랜덤한 심볼에 x2 룬을 부착,
37,속성 특수심볼,회복,R,자연 심볼 중 1개가 회복 심볼로 등장. 회복 심볼 체크시 마다 최대체력의 5% 회복,
38,속성 특수심볼,보호,R,물 심볼 중 1개가 보호 심볼로 등장. 보호 심볼 체크시 마다 최대체력의 6% 보호막 획득,
39,속성 특수심볼,파워강화,E,파워 심볼의 증가하는 공격력이 7% 로 증가,
40,속성 특수심볼,천둥강화,E,천둥 심볼의 발동 확률이 20% 증가 (50%>70%),
41,속성 특수심볼,회복강화,E,회복 심볼의 회복량이 7% 로 증가,
42,속성 특수심볼,보호강화,E,물 심볼의 보호막 크기가 8%로 증가,
43,속성 강화,화상,E,화염 속성 공격 시 화상 2턴 부여,
44,속성 강화,미니번개,E,번개 속성 공격 시 미니번개 1개 추가,
45,속성 강화,따가움,E,자연 속성 공격 시 따가움 3턴,
46,속성 강화,저체온,E,물 속성 공격 시 저체온 3턴,
47,반반심볼,화염-물 심볼,N,화염과 물 모두에 매치되는 반반심볼이 등장,
48,반반심볼,화염-번개 심볼,N,화염과 번개 모두에 매치되는 반반심볼이 등장,
49,반반심볼,화염-자연 심볼,N,화염과 자연 모두에 매치되는 반반심볼이 등장,
50,반반심볼,물-번개 심볼,N,물과 번개 모두에 매치되는 반반심볼이 등장,
51,반반심볼,물-자연 심볼,N,물과 자연 모두에 매치되는 반반심볼이 등장,
52,반반심볼,번개-자연 심볼,N,번개와 자연 모두에 매치되는 반반심볼이 등장,
53,반반심볼,무지개 심볼,E,모든 속성에 매치되는 만능 심볼이 1개 등장,
54,반반심볼,무지개 공명,L,만능 심볼이 체크에 포함되면 해당 체크 데미지 +50%,
55,상태이상강화,불씨강화,R,화상 피해량 +30%,
56,상태이상강화,낙뢰강화,R,미니번개가 어지러움(공격력10% 감소 디버프) 2턴을 추가한다,
57,상태이상강화,가시강화,R,따가움의 받는 피해 증가량이 5% 증가 (10%>15%),
58,상태이상강화,얼음강화,R,빙결의 지속 턴수 +1,
59,상태이상강화,업화,E,화상 피해량 +50%. 화상 지속 +1턴,
