번호,타입,제목,등급,내용,등장조건,최대보유횟수
1,속성확률,화염 집중,N,화염 심볼 등장 확률 조금 증가,,2
2,속성확률,물 집중,N,물 심볼 등장 확률 조금 증가,,2
3,속성확률,번개 집중,N,번개 심볼 등장 확률 조금 증가,,2
4,속성확률,자연 집중,N,자연 심볼 등장 확률 조금 증가,,2
5,속성확률,화염 지배,R,화염 심볼 확률 많이 증가,화염 집중,1
6,속성확률,물 지배,R,물 심볼 확률 많이 증가,물 집중,1
7,속성확률,번개 지배,R,번개 심볼 확률 많이 증가,번개 집중,1
8,속성확률,자연 지배,R,자연 심볼 확률 많이 증가,자연 집중,1
9,속성확률,속성 독점,E,등장 확률이 가장 높은 속성의 등장 확률 많이 증가,,1
10,속성확률,단일속성 각성,L,등장 확률이 50% 이상인 속성의 공격력이 30% 증가,속성 독점,1
11,속성변환,화염 변환,R,스핀 후 화염이 아닌 심볼 1개를 화염으로 변환,화염 집중,1
12,속성변환,물 변환,R,스핀 후 물이 아닌 심볼 1개를 물로 변환,물 집중,1
13,속성변환,번개 변환,R,스핀 후 번개가 아닌 심볼 1개를 번개로 변환,번개 집중,1
14,속성변환,자연 변환,R,스핀 후 자연이 아닌 심볼 1개를 자연으로 변환,자연 집중,1
15,속성변환,화염 침식,E,화염변환으로 변환하는 심볼 1개 추가,화염 변환,1
16,속성변환,물 침식,E,물변환으로 변환하는 심볼 1개 추가,물 변환,1
17,속성변환,번개 침식,E,번개변환으로 변환하는 심볼 1개 추가,번개 변환,1
18,속성변환,자연 침식,E,자연변환으로 변환하는 심볼 1개 추가,자연 변환,1
19,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
20,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
21,속성변환,이중변환,E,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환),해당 속성의 지배스킬( ID 5 6 7 8 ) 을 먹었을 경우 등장,1
