번호,타입,제목,등급,내용
1,속성확률,번개 집중,B,번개 심볼 등장 확률 조금 증가
2,속성확률,자연 집중,B,자연 심볼 등장 확률 조금 증가
3,속성확률,화염 집중,B,화염 심볼 등장 확률 조금 증가
4,속성확률,물 집중,B,물 심볼 등장 확률 조금 증가
5,속성확률,번개와 자연,B,"번개, 자연 심볼 등장 확률 조금 증가"
6,속성확률,화염과 번개,B,"화염, 번개 심볼 등장 확률 조금 증가"
7,속성확률,물과 번개,B,"물, 번개 심볼 등장 확률 조금 증가"
8,속성확률,자연과 화염,B,"자연, 화염 심볼 등장 확률 조금 증가"
9,속성확률,물과 자연,B,"물, 자연 심볼 등장 확률 조금 증가"
10,속성확률,화염과 물,B,"화염, 물 심볼 등장 확률 조금 증가"
11,속성확률,번개 지배,A,번개 심볼 확률 많이 증가
12,속성확률,자연 지배,A,자연 심볼 확률 많이 증가
13,속성확률,화염 지배,A,화염 심볼 확률 많이 증가
14,속성확률,물 지배,A,물 심볼 확률 많이 증가
15,속성확률,번개와 자연 지배,A,"번개, 자연 심볼 등장 확률 많이 증가"
16,속성확률,화염과 번개 지배,A,"화염, 번개 심볼 등장 확률 많이 증가"
17,속성확률,물과 번개 지배,A,"물, 번개 심볼 등장 확률 많이 증가"
18,속성확률,자연과 화염 지배,A,"자연, 화염 심볼 등장 확률 많이 증가"
19,속성확률,물과 자연 지배,A,"물, 자연 심볼 등장 확률 많이 증가"
20,속성확률,화염과 물 지배,A,"화염, 물 심볼 등장 확률 많이 증가"
21,속성확률,속성 독점,S,등장 확률이 가장 높은 속성의 등장 확률 많이 증가
22,속성확률,단일속성 각성,SS,등장 확률이 50% 이상인 속성의 공격력이 30% 증가
23,속성변환,번개 변환,A,스핀 후 번개가 아닌 심볼 1개를 번개로 변환
24,속성변환,자연 변환,A,스핀 후 자연이 아닌 심볼 1개를 자연으로 변환
25,속성변환,화염 변환,A,스핀 후 화염이 아닌 심볼 1개를 화염으로 변환
26,속성변환,물 변환,A,스핀 후 물이 아닌 심볼 1개를 물로 변환
27,속성변환,번개 침식,A,번개변환으로 변환하는 심볼 1개 추가
28,속성변환,자연 침식,A,자연변환으로 변환하는 심볼 1개 추가
29,속성변환,화염 침식,A,화염변환으로 변환하는 심볼 1개 추가
30,속성변환,물 침식,A,물변환으로 변환하는 심볼 1개 추가
31,속성변환,번 - 자 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
32,속성변환,번 - 화 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
33,속성변환,번 - 물 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
34,속성변환,자 - 화 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
35,속성변환,자 - 물 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
36,속성변환,화 - 물 변환,A,이중변환 시리즈 6종 (심볼 2개가 지정된 2 속성으로 변환)
37,속성변환,이중변환 마스터,SS,이중변환 심볼이 모두 반반심볼로 등장한다
38,속성 특수심볼,불씨,A,화염 심볼 중 1개가 불씨로 등장. 체크 시 화상 2턴 (해당 턴 화염 데미지의 10%)
39,속성 특수심볼,천둥,A,번개 심볼 중 1개가 천둥 심볼로 등장. 천둥 심볼 체크시 마다 적에게 어지러움 부여
40,속성 특수심볼,가시,A,자연 심볼 중 1개가 가시로 등장. 체크 시 따가움 2턴 (1스택당 받는 피해량 10% 증가)
41,속성 특수심볼,얼음,A,물 심볼 중 1개가 얼음으로 등장. 체크 시 저체온 1개 부여 (저체온 3스택이 되면 빙결 1턴에 걸림)
42,속성 특수심볼,불씨 추가!,S,불씨 1개 추가 등장
43,속성 특수심볼,천둥 추가!,S,천둥 1개 추가 등장
44,속성 특수심볼,가시 추가!,S,가시 1개 추가 등장
45,속성 특수심볼,얼음 추가!,S,얼음 1개 추가 등장
46,속성 특수심볼,불씨강화,SS,불씨로 인한 화상 1개 -> 2개
47,속성 특수심볼,천둥강화,SS,천둥으로 인한 어지러움 턴 수 + 1
48,속성 특수심볼,가시강화,SS,가시로 인한 따가움 1개 -> 2개
49,속성 특수심볼,얼음강화,SS,얼음으로 인한 저체온 1개 -> 2개
50,상태이상강화,화상 강화,A,화상 피해량 +30%
51,상태이상강화,어지러움 강화,A,어지러움에 걸린 적 공격력 - 10%
52,상태이상강화,따가움 강화,A,따가움의 받는 피해 증가량이 5% 증가 (10%>15%)
53,상태이상강화,빙결 강화,A,빙결의 지속 턴수 +1
54,상태이상강화,업화,S,화상 피해량 +50%. 화상 지속 +1턴
55,상태이상강화,치명상,S,어지러움에 데미지 절감 감소 효과 추가
56,상태이상강화,혼미,S,"따가움의 받는 피해 증가량이 +5%, 따가움 지속 +1턴"
57,상태이상강화,영구동토,S,저체온 2스택에 빙결에 걸림
58,상태이상강화,보호막 녹이기,SS,화상이 보호막에 입히는 피해량이 100% 증가
59,상태이상강화,혼절,SS,어지러움 상태인 적인 반격 및 연속공격 확률이 50% 감소
60,상태이상강화,과다출혈,SS,따가움 상태인 적은 회복량이 80% 감소
61,상태이상강화,빙하기,SS,빙결 상태인 적은 모든 피해감면 스킬이 무효가 된다
62,속성 특수심볼,파워,A,화염 심볼 중 1개가 파워 심볼로 등장. 파워 심볼 체크시 마다 공격력이 5% 증가 (전투 종료 시 초기화)
63,속성 특수심볼,낙뢰,A,번개 심볼 중 1개가 낙뢰로 등장. 체크 시 미니번개가 생성되었다가 추가공격 (해당 턴 번개 데미지의 10%)
64,속성 특수심볼,회복,A,자연 심볼 중 1개가 회복 심볼로 등장. 회복 심볼 체크시 마다 최대체력의 5% 회복
65,속성 특수심볼,보호,A,물 심볼 중 1개가 보호 심볼로 등장. 보호 심볼 체크시 마다 최대체력의 6% 보호막 획득
66,속성 특수심볼,파워 추가!,S,파워 1개 추가 등장
67,속성 특수심볼,낙뢰 추가!,S,낙뢰 1개 추가 등장
68,속성 특수심볼,회복 추가!,S,회복 1개 추가 등장
69,속성 특수심볼,보호 추가!,S,보호 1개 추가 등장
70,속성 특수심볼,파워강화,S,파워 심볼의 증가하는 공격력이 7% 로 증가
71,속성 특수심볼,낙뢰강화,S,낙뢰 심볼 체크 시 생성되는 미니 번개 1개 -> 2개
72,속성 특수심볼,회복강화,S,회복 심볼의 회복량이 7% 로 증가
73,속성 특수심볼,보호강화,S,물 심볼의 보호막 크기가 8%로 증가
74,반반심볼,번개-자연 심볼,A,번개와 자연 모두에 매치되는 반반심볼이 1개 등장
75,반반심볼,화염-번개 심볼,A,화염과 번개 모두에 매치되는 반반심볼이 1개 등장
76,반반심볼,물-번개 심볼,A,물과 번개 모두에 매치되는 반반심볼이 1개 등장
77,반반심볼,화염-자연 심볼,A,화염과 자연 모두에 매치되는 반반심볼이 1개 등장
78,반반심볼,물-자연 심볼,A,물과 자연 모두에 매치되는 반반심볼이 1개 등장
79,반반심볼,화염-물 심볼,A,화염과 물 모두에 매치되는 반반심볼이 1개 등장
